ROI,count,rank
3031,13.0,858.9230769230769
280,13.0,861.3076923076923
5365,13.0,865.2307692307693
3474,13.0,867.6153846153846
5200,13.0,868.3846153846154
799,13.0,871.0769230769231
5177,12.0,892.5
2626,12.0,897.3333333333334
703,12.0,903.1666666666666
4630,12.0,903.4166666666666
5773,12.0,908.75
422,12.0,910.6666666666666
1914,12.0,912.4166666666666
4935,12.0,914.3333333333334
1391,12.0,916.1666666666666
1735,12.0,916.1666666666666
2478,12.0,917.8333333333334
6330,12.0,919.5833333333334
5744,12.0,920.6666666666666
2313,12.0,922.5
2414,12.0,925.5833333333334
2022,12.0,926.5
2495,12.0,938.1666666666666
2411,12.0,938.4166666666666
2493,12.0,941.0833333333334
1464,12.0,941.9166666666666
2790,12.0,944.9166666666666
1475,12.0,946.3333333333334
4855,12.0,948.5
6308,11.0,989.4545454545455
6086,11.0,997.2727272727273
2123,11.0,998.3636363636364
5146,11.0,998.6363636363636
5045,11.0,999.3636363636364
668,11.0,999.7272727272727
2668,11.0,1000.3636363636364
5304,11.0,1002.2727272727273
966,11.0,1003.3636363636364
2402,11.0,1003.8181818181819
2277,11.0,1007.7272727272727
5160,11.0,1009.1818181818181
2635,11.0,1009.7272727272727
1646,11.0,1011.8181818181819
4551,11.0,1012.7272727272727
4431,11.0,1012.9090909090909
190,11.0,1015.4545454545455
4828,11.0,1016.1818181818181
2410,11.0,1016.4545454545455
735,11.0,1017.0909090909091
4156,11.0,1017.0909090909091
5649,11.0,1020.1818181818181
5298,11.0,1020.2727272727273
3395,11.0,1022.5454545454545
2233,11.0,1024.4545454545455
4676,11.0,1025.4545454545455
5742,11.0,1026.5454545454545
4615,11.0,1026.8181818181818
4678,11.0,1033.2727272727273
4649,11.0,1038.090909090909
988,10.0,1098.1
536,10.0,1100.0
89,10.0,1102.7
5613,10.0,1104.2
5136,10.0,1108.8
3073,10.0,1110.6
4756,10.0,1114.8
1221,10.0,1117.6
3066,10.0,1119.1
1632,10.0,1119.3
205,10.0,1122.0
544,10.0,1123.1
6523,10.0,1123.8
4976,10.0,1126.6
4592,10.0,1126.9
4918,10.0,1127.0
2497,10.0,1127.7
4889,10.0,1128.1
5788,10.0,1128.9
5859,10.0,1129.0
4300,10.0,1130.0
3308,10.0,1131.9
2464,10.0,1133.1
3394,10.0,1133.3
2567,10.0,1133.6
3094,10.0,1135.5
844,9.0,1224.5555555555557
2554,9.0,1226.111111111111
970,9.0,1228.5555555555557
5659,9.0,1231.111111111111
6083,9.0,1231.6666666666667
4174,9.0,1232.2222222222222
5852,9.0,1235.2222222222222
2657,9.0,1237.3333333333333
2594,9.0,1242.3333333333333
6085,9.0,1243.0
5047,9.0,1244.0
1891,9.0,1244.5555555555557
365,9.0,1246.4444444444443
1985,9.0,1248.111111111111
1625,9.0,1248.4444444444443
863,9.0,1249.3333333333333
520,9.0,1251.0
2961,9.0,1252.5555555555557
5644,9.0,1253.111111111111
4590,9.0,1253.5555555555557
4943,9.0,1253.5555555555557
2435,9.0,1257.5555555555557
1397,9.0,1258.111111111111
5251,9.0,1259.4444444444443
4329,9.0,1262.2222222222222
4816,9.0,1263.111111111111
4042,9.0,1264.3333333333333
335,9.0,1265.7777777777778
756,9.0,1270.5555555555557
4549,9.0,1270.7777777777778
2525,9.0,1272.2222222222222
5592,9.0,1273.6666666666667
5302,9.0,1275.2222222222222
2232,8.0,1388.875
4774,8.0,1394.375
6136,8.0,1394.375
1784,8.0,1394.875
3022,8.0,1400.75
352,8.0,1406.0
535,8.0,1409.875
2422,8.0,1412.75
630,8.0,1413.0
6370,8.0,1413.0
1437,8.0,1413.25
5511,8.0,1415.625
6327,8.0,1417.0
1129,8.0,1417.0
315,8.0,1417.125
3728,8.0,1418.0
1524,8.0,1418.0
448,8.0,1419.5
9,8.0,1419.75
5778,8.0,1420.25
2459,8.0,1422.5
2206,8.0,1423.25
2413,8.0,1423.625
3475,8.0,1425.0
3277,8.0,1426.0
1857,8.0,1427.5
6627,8.0,1428.0
2299,8.0,1428.5
1864,7.0,1593.2857142857142
2536,7.0,1595.142857142857
1069,7.0,1596.7142857142858
6245,7.0,1600.142857142857
1076,7.0,1603.7142857142858
436,7.0,1604.5714285714287
372,7.0,1606.7142857142858
5255,7.0,1610.0
1942,7.0,1612.5714285714287
534,7.0,1615.2857142857142
3020,7.0,1616.0
404,7.0,1616.4285714285713
1281,7.0,1617.142857142857
1348,7.0,1618.142857142857
6497,7.0,1620.4285714285713
1209,7.0,1621.142857142857
4223,7.0,1621.7142857142858
2976,7.0,1623.0
2634,7.0,1623.2857142857142
1357,7.0,1623.5714285714287
2205,7.0,1624.5714285714287
1876,7.0,1625.0
1898,7.0,1625.2857142857142
4643,7.0,1626.142857142857
2529,7.0,1626.5714285714287
4906,7.0,1626.7142857142858
574,7.0,1626.7142857142858
2633,7.0,1627.5714285714287
1334,7.0,1627.7142857142858
5295,7.0,1628.0
181,7.0,1628.142857142857
3865,7.0,1629.142857142857
2572,7.0,1630.5714285714287
